"","Var1","Var2","spDist","gDist","fDist","m.GeogDist","EnvDist","Area.mx","Shelf"
"25","EMN","EMN",0,0,0,0,0,0,0
"26","MAU","EMN",0.784182305630027,0.441295546558704,0.177215189873418,0.30547375816387,0.330252842985212,0.016208238818768,0
"27","SUL","EMN",0.837595907928389,0.533088235294118,0.1875,0.518301756215446,0.379951833903333,0.0253517178548277,0
"28","PHI","EMN",0.892086330935252,0.623052959501558,0.307692307692308,0.552842137561278,0.574042363741066,0.034927018094236,0
"29","LSU","EMN",0.827543424317618,0.478927203065134,0.207317073170732,0.500952774164591,0.361733675258691,0.0168028947479617,0
"30","BOR","EMN",0.898270600203459,0.693548387096774,0.354166666666667,0.695710425767383,0.199441374313936,0.071622544983093,0
"31","JAV","EMN",0.879725085910653,0.668604651162791,0.346938775510204,0.786851945316952,0.121838336104199,0.0213859708608289,0
"32","SUM","EMN",0.904109589041096,0.689473684210526,0.363636363636364,0.94373522559425,0.291723316450765,0.0494419818841214,0
"33","SEA","EMN",0.925291828793774,0.746102449888641,0.413461538461538,1,0.509871336639674,0.293062313139423,0
"34","AUS","MAU",0.829292929292929,0.624678663239075,0.359223300970874,0.0711892932429028,0.70087546630238,0.723145925679345,0
"35","NWG","MAU",0.740659340659341,0.494152046783626,0.252631578947368,0.0163634189906397,0.280223777834999,0.0749493202680796,0
"36","EMN","MAU",0.784182305630027,0.441295546558704,0.177215189873418,0.30547375816387,0.330252842985212,0.016208238818768,0
"37","MAU","MAU",0,0,0,0,0,0,0
"38","SUL","MAU",0.714060031595577,0.466165413533835,0.182926829268293,0.0220001130543437,0.0910790208110346,0.0217868740782575,0
"39","PHI","MAU",0.840801886792453,0.577287066246057,0.319148936170213,0.106092525540083,0.269033048916564,0.0313621743176658,0
"40","LSU","MAU",0.684210526315789,0.420233463035019,0.202380952380952,0.00458178774107349,0.218377965926477,0.0132380509713916,0
"41","BOR","MAU",0.837647058823529,0.658536585365854,0.363636363636364,0.150504672202721,0.139251899858237,0.0680577012065229,0
"42","JAV","MAU",0.801899592944369,0.622418879056047,0.34,0.25291965905729,0.266638428485001,0.0178211270842587,0
"43","SUM","MAU",0.848314606741573,0.655172413793103,0.372549019607843,0.386045933113096,0.272342517475097,0.0458771381075513,0
"44","SEA","MAU",0.894239036973345,0.714606741573034,0.420560747663551,0.49912547395104,0.303384949302658,0.289497469362852,0
"45","AUS","SUL",0.880424300867888,0.708235294117647,0.425925925925926,0.206394206160655,0.628352013220508,0.716824228158247,0
"46","NWG","SUL",0.852,0.643589743589744,0.362745098039216,0.131511824190449,0.309525618833615,0.0686276227469806,0
"47","EMN","SUL",0.837595907928389,0.533088235294118,0.1875,0.518301756215446,0.379951833903333,0.00988654129766909,0
"48","MAU","SUL",0.714060031595577,0.466165413533835,0.182926829268293,0.0220001130543437,0.0910790208110346,0.00632169752109895,0
"49","SUL","SUL",0,0,0,0,0,0,0
"50","PHI","SUL",0.764115432873275,0.429054054054054,0.193181818181818,0.0422606078788467,0.287370674285432,0.0250404767965669,0
"51","LSU","SUL",0.70516717325228,0.409090909090909,0.123456790123457,0.0248266662869962,0.306517861495542,0.00691635345029264,0
"52","BOR","SUL",0.765586034912718,0.53314121037464,0.265957446808511,0.0259503172783926,0.180855483489394,0.0617360036854239,0
"53","JAV","SUL",0.732091690544413,0.510835913312694,0.242105263157895,0.102487077662338,0.291517183851166,0.0114994295631598,0
"54","SUM","SUL",0.77299880525687,0.524079320113314,0.260416666666667,0.247877923308645,0.362911528955594,0.0395554405864524,0
